name,total_return,cagr,ann_volatility,sharpe,sortino,calmar,max_drawdown,trades,win_rate,exposure,turnover,average_trade_return,average_win,average_loss,profit_factor,cost_drag,excess_cagr_vs_benchmark,drawdown_improvement_vs_benchmark,ticker,label,variant,short_window,long_window,spread_threshold,momentum_window,partial_exposure,entry_threshold,exit_threshold,min_hold_days,cooldown_days,cost_bps,benchmark_total_return,benchmark_cagr,benchmark_sharpe,benchmark_max_drawdown,upside_capture,downside_capture,missed_return_while_in_cash,average_holding_days,median_holding_days,trade_frequency_per_year,fallback_exposure
AAPL_long_cash_sma_20_100_0bps,2.6442414753214516,0.12051142150375904,0.2168171472555289,0.6343760131194289,0.6990979917139021,0.3406090477877151,-0.35381156867819874,41,0.5,0.6621196222455404,3.613850996852046,0.07621192664262597,0.22924920401641638,-0.07682535073116444,2.984030685634355,0.0,-0.1275670178525401,0.03134756155769314,AAPL,base_20_100,long_cash,20,100,0.0,,False,0.0,0.0,0,0,0.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.6043299975843432,0.6192020002351051,1.425977613377242,90.14285714285714,63.0,3.6076246687545166,0.0
AAPL_long_cash_sma_20_100_5bps,2.570357218141732,0.11849376426979474,0.21681430213985955,0.6260503602105796,0.6920644542258113,0.3336843814629793,-0.3551073135346644,41,0.5,0.6621196222455404,3.613850996852046,0.0751369991290494,0.22802162085105068,-0.07774762259295187,2.9328436451987634,0.0738842571797198,-0.1295846750865044,0.030051816701227474,AAPL,base_20_100,long_cash,20,100,0.0,,False,0.0,0.0,0,0,5.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.603763437827891,0.6197802465393513,1.425977613377242,90.14285714285714,63.0,3.6076246687545166,0.0
AAPL_long_cash_sma_20_100_10bps,2.497935096505053,0.11647873435902856,0.21681556423311402,0.617712787035164,0.6834766129434948,0.32681922558643767,-0.3564011087475699,41,0.5,0.6621196222455404,3.613850996852046,0.07406260870556769,0.22679465095087997,-0.0786694335397446,2.88288145403133,0.14630637881639874,-0.13159970499727058,0.02875802148832196,AAPL,base_20_100,long_cash,20,100,0.0,,False,0.0,0.0,0,0,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.6031968780714387,0.6203584928435976,1.425977613377242,90.14285714285714,63.0,3.6076246687545166,0.0
AAPL_long_cash_sma_20_100_20bps,2.357364888701724,0.1124565480667945,0.21683040952611826,0.6010037786811875,0.6661523200704459,0.3132643956090737,-0.35898285806833385,41,0.5,0.6621196222455404,3.613850996852046,0.07191543912889105,0.22434255094612832,-0.08051167268834626,2.786459943697096,0.2868765866197278,-0.13562189128950464,0.026176272167558023,AAPL,base_20_100,long_cash,20,100,0.0,,False,0.0,0.0,0,0,20.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.6020637585585342,0.62151498545209,1.425977613377242,90.14285714285714,63.0,3.6076246687545166,0.0
AAPL_long_cash_sma_20_100_50bps,1.9679170607368324,0.10045282561459801,0.2169734629187219,0.5506403449549278,0.6133584086389788,0.27395115575172563,-0.3666815178747982,41,0.5,0.6621196222455404,3.613850996852046,0.06548682056114732,0.21700096929657434,-0.0860273281742797,2.522465522315883,0.6763244145846192,-0.14762561374170113,0.018477612361093687,AAPL,base_20_100,long_cash,20,100,0.0,,False,0.0,0.0,0,0,50.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.5986644000198207,0.6249844632775674,1.425977613377242,90.14285714285714,63.0,3.6076246687545166,0.0
AAPL_long_cash_sma_5_50_0bps,5.202435738053309,0.17418958693753317,0.1867654810278198,0.9547693021877851,1.1008375300907953,0.708359464565084,-0.24590563922863862,89,0.4318181818181818,0.621196222455404,7.844700944386149,0.04732983639312894,0.15453531248592897,-0.034146325437399046,3.439516140752041,0.0,-0.07388885241876597,0.13925349100725326,AAPL,selected,long_cash,5,50,0.0,,False,0.0,0.0,0,0,0.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.544951866394423,0.520872949153884,0.9633828983017408,39.46666666666667,24.0,7.831185256564683,0.0
AAPL_long_cash_sma_5_50_5bps,4.932792907848491,0.1696063834144388,0.18675257727813252,0.9338323468584603,1.080310113932156,0.6834190733823223,-0.24817332442162698,89,0.4318181818181818,0.621196222455404,7.844700944386149,0.04628470837601781,0.15338568224489466,-0.035112031764328595,3.3200334087345578,0.26964283020481794,-0.07847205594186035,0.1369858058142649,AAPL,selected,long_cash,5,50,0.0,,False,0.0,0.0,0,0,5.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.5439217577463279,0.5223337819225062,0.9633828983017408,39.46666666666667,24.0,7.831185256564683,0.0
AAPL_long_cash_sma_5_50_10bps,4.6747464070231155,0.16503879257453336,0.18674984761738886,0.9128427638590377,1.0581843355682914,0.659007642522552,-0.2504353241531422,89,0.4318181818181818,0.621196222455404,7.844700944386149,0.04524010208286751,0.1522366246527695,-0.036077255070257996,3.207002154426307,0.5276893310301931,-0.08303964678176579,0.1347238060827497,AAPL,selected,long_cash,5,50,0.0,,False,0.0,0.0,0,0,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.5428916490982328,0.5237946146911283,0.9633828983017408,39.46666666666667,24.0,7.831185256564683,0.0
AAPL_long_cash_sma_5_50_20bps,4.191489990819715,0.15595026737022,0.18677491068440574,0.8707194425043485,1.013163890880345,0.6117080590766022,-0.25494231285040314,89,0.4318181818181818,0.621196222455404,7.844700944386149,0.04315245466844931,0.14994022741524612,-0.03800625261911628,2.99831119835978,1.0109457472335937,-0.09212817198607914,0.13021681738548874,AAPL,selected,long_cash,5,50,0.0,,False,0.0,0.0,0,0,20.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.5408314318020427,0.5267162802283724,0.9633828983017408,39.46666666666667,24.0,7.831185256564683,0.0
AAPL_long_cash_sma_5_50_50bps,2.972795382751081,0.12905469489098298,0.1870939824158585,0.7434469108824572,0.8730966154873504,0.4505341770490924,-0.2864481796614523,89,0.38636363636363635,0.621196222455404,7.844700944386149,0.036902033800256535,0.15996243271822774,-0.04058043959254015,2.481912179323631,2.2296403553022275,-0.11902374446531616,0.09871095057443957,AAPL,selected,long_cash,5,50,0.0,,False,0.0,0.0,0,0,50.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.5346507799134727,0.5354812768401047,0.9633828983017408,39.46666666666667,24.0,7.831185256564683,0.0
